09:14:53 INFO    can.interfaces.socketcan.socketcan Created a socket
09:14:53 INFO    canlink    CAN bus open: socketcan:can0 @ 250000
09:14:53 INFO    autopilot  Autopilot CSV log initialized at logs/autopilot_log_20260726_091453.csv
09:14:53 INFO    autopilot  Autopilot run thread started.
09:14:53 INFO    autopilot  set heading value to 183.02003921581112.
09:14:53 INFO    autopilot  set heading value to 183.03149406716153.
09:14:53 INFO    autopilot  set heading value to 183.0390170827013.
09:14:54 INFO    autopilot  set heading value to 183.0273764166563.
09:14:54 INFO    autopilot  set heading value to 183.03784302593115.
09:14:54 INFO    autopilot  set heading value to 183.0505506449503.
09:14:54 INFO    autopilot  set heading value to 183.06575090856458.
09:14:55 INFO    autopilot  set heading value to 183.0740293022856.
09:14:55 INFO    autopilot  set heading value to 183.0635870700461.
09:14:55 INFO    autopilot  set heading value to 183.055771248437.
09:14:55 INFO    autopilot  set heading value to 183.03722872369275.
09:14:56 INFO    autopilot  set heading value to 183.01891200456444.
09:14:56 INFO    autopilot  set heading value to 183.01242754332515.
09:14:56 INFO    autopilot  set heading value to 183.01235239732708.
09:14:56 INFO    autopilot  set heading value to 183.01377263051987.
09:14:57 INFO    autopilot  set heading value to 183.02353296087512.
09:14:57 INFO    autopilot  set heading value to 183.03990515627407.
09:14:57 INFO    autopilot  set heading value to 183.06679141635033.
09:14:57 INFO    autopilot  set heading value to 183.10092931322717.
09:14:58 INFO    autopilot  set heading value to 183.14832493968564.
09:14:58 INFO    autopilot  set heading value to 183.2254666549177.
09:14:58 INFO    autopilot  set heading value to 183.3142505939108.
09:14:58 INFO    autopilot  set heading value to 183.3998848668763.
09:14:59 INFO    autopilot  set heading value to 183.48169096599494.
09:14:59 INFO    autopilot  set heading value to 183.54344541923078.
09:14:59 INFO    autopilot  set heading value to 183.61313262742595.
09:14:59 INFO    autopilot  set heading value to 183.6732604781699.
09:15:00 INFO    autopilot  set heading value to 183.71923276236035.
09:15:00 INFO    autopilot  set heading value to 183.76572629374917.
09:15:00 INFO    autopilot  set heading value to 183.80677508947255.
09:15:00 INFO    autopilot  set heading value to 183.83311678803892.
09:15:01 INFO    autopilot  set heading value to 183.86360075104244.
09:15:01 INFO    autopilot  set heading value to 183.89891282055504.
09:15:01 INFO    autopilot  set heading value to 183.93607988876244.
09:15:01 INFO    autopilot  set heading value to 183.96838644491396.
09:15:02 INFO    autopilot  set heading value to 183.99069542054974.
09:15:02 INFO    autopilot  set heading value to 183.97039536399163.
09:15:02 INFO    autopilot  set heading value to 183.9223046531899.
09:15:02 INFO    autopilot  set heading value to 183.85376221058718.
09:15:03 INFO    autopilot  set heading value to 183.77491771639507.
09:15:03 INFO    autopilot  set heading value to 183.70137312804067.
09:15:03 INFO    autopilot  set heading value to 183.6167598090879.
09:15:03 INFO    autopilot  set heading value to 183.54189640052041.
09:15:04 INFO    autopilot  set heading value to 183.49345205968734.
09:15:04 INFO    autopilot  set heading value to 183.44409916826646.
09:15:04 INFO    autopilot  set heading value to 183.37852454641103.
09:15:04 INFO    autopilot  set heading value to 183.3236395602786.
09:15:05 INFO    autopilot  set heading value to 183.27014819576698.
09:15:05 INFO    autopilot  set heading value to 183.22128545060926.
09:15:05 INFO    autopilot  set heading value to 183.1831727031307.
09:15:05 INFO    autopilot  set heading value to 183.13204103601936.
09:15:06 INFO    autopilot  set heading value to 183.05947504949128.
09:15:06 INFO    autopilot  set heading value to 183.0073548582183.
09:15:06 INFO    autopilot  set heading value to 182.97372396217486.
09:15:06 INFO    autopilot  set heading value to 182.94070242318946.
09:15:07 INFO    autopilot  set heading value to 182.88561893039846.
09:15:07 INFO    autopilot  set heading value to 182.83052644102594.
09:15:07 INFO    autopilot  set heading value to 182.7948745498981.
09:15:07 INFO    autopilot  set heading value to 182.76625816682468.
09:15:08 INFO    autopilot  set heading value to 182.72758868119328.
09:15:08 INFO    autopilot  set heading value to 182.66746937717662.
09:15:08 INFO    autopilot  set heading value to 182.60545642455645.
09:15:09 INFO    autopilot  set heading value to 182.52091180589537.
09:15:09 INFO    autopilot  set heading value to 182.4237996797054.
09:15:09 INFO    autopilot  set heading value to 182.3378168112128.
09:15:09 INFO    autopilot  set heading value to 182.25188628080667.
09:15:10 INFO    autopilot  set heading value to 182.15989565594353.
09:15:10 INFO    autopilot  set heading value to 182.0724690959668.
09:15:10 INFO    autopilot  set heading value to 181.97903767135702.
09:15:10 INFO    autopilot  set heading value to 181.87960382977494.
09:15:11 INFO    autopilot  set heading value to 181.79738106014648.
09:15:11 INFO    autopilot  set heading value to 181.72678928184564.
09:15:11 INFO    autopilot  set heading value to 181.65727245091483.
09:15:11 INFO    autopilot  set heading value to 181.59312926818006.
09:15:12 INFO    autopilot  set heading value to 181.520764341513.
09:15:12 INFO    autopilot  set heading value to 181.4431257268352.
09:15:12 INFO    autopilot  set heading value to 181.3834288921386.
09:15:12 INFO    autopilot  set heading value to 181.35014615957803.
09:15:13 INFO    autopilot  set heading value to 181.33078295843242.
09:15:13 INFO    autopilot  set heading value to 181.31111003227085.
09:15:13 INFO    autopilot  set heading value to 181.30939961610437.
09:15:13 INFO    autopilot  set heading value to 181.31356343224093.
09:15:14 INFO    autopilot  set heading value to 181.30822192804686.
09:15:14 INFO    autopilot  set heading value to 181.29173194912653.
09:15:14 INFO    autopilot  set heading value to 181.2544569239481.
09:15:14 INFO    autopilot  set heading value to 181.20980800809775.
09:15:15 INFO    autopilot  set heading value to 181.1772692554966.
09:15:15 INFO    autopilot  set heading value to 181.1410239438091.
09:15:15 INFO    autopilot  set heading value to 181.07687943992127.
09:15:15 INFO    autopilot  set heading value to 180.99971001300958.
09:15:16 INFO    autopilot  set heading value to 180.91879732328488.
09:15:16 INFO    autopilot  set heading value to 180.84997999180294.
09:15:16 INFO    autopilot  set heading value to 180.8073548240138.
09:15:16 INFO    autopilot  set heading value to 180.77771834290076.
09:15:17 INFO    autopilot  set heading value to 180.7414533049841.
09:15:17 INFO    autopilot  set heading value to 180.71304000662647.
09:15:17 INFO    autopilot  set heading value to 180.6889178750207.
09:15:17 INFO    autopilot  set heading value to 180.66563860877412.
09:15:18 INFO    autopilot  set heading value to 180.65387107775715.
09:15:18 INFO    autopilot  set heading value to 180.6481484732627.
09:15:18 INFO    autopilot  set heading value to 180.64365786237343.
09:15:18 INFO    autopilot  set heading value to 180.65550195958468.
09:15:19 INFO    autopilot  set heading value to 180.67191325557673.
09:15:19 INFO    autopilot  set heading value to 180.67914298000935.
09:15:19 INFO    autopilot  set heading value to 180.67881830119654.
09:15:19 INFO    autopilot  set heading value to 180.67818029316754.
09:15:20 INFO    autopilot  set heading value to 180.6787977301576.
09:15:20 INFO    autopilot  set heading value to 180.6775856722291.
09:15:20 INFO    autopilot  set heading value to 180.67190332072653.
09:15:20 INFO    autopilot  set heading value to 180.64922854124995.
09:15:21 INFO    autopilot  set heading value to 180.62995411291587.
09:15:21 INFO    autopilot  set heading value to 180.60726845533125.
09:15:21 INFO    autopilot  set heading value to 180.5713168626152.
09:15:21 INFO    autopilot  set heading value to 180.54468762305743.
09:15:22 INFO    autopilot  set heading value to 180.53848645259933.
09:15:22 INFO    autopilot  set heading value to 180.5374297240256.
09:15:22 INFO    autopilot  set heading value to 180.53400016095554.
09:15:22 INFO    autopilot  set heading value to 180.52041724193688.
09:15:23 INFO    autopilot  set heading value to 180.52028246604078.
09:15:23 INFO    autopilot  set heading value to 180.5349035308354.
09:15:23 INFO    autopilot  set heading value to 180.54517691671012.
09:15:23 INFO    autopilot  set heading value to 180.54959678967802.
09:15:24 INFO    autopilot  set heading value to 180.5586564891689.
09:15:24 INFO    autopilot  set heading value to 180.5715117294913.
09:15:24 INFO    autopilot  set heading value to 180.57953807714023.
09:15:24 INFO    autopilot  set heading value to 180.58527393540734.
09:15:25 INFO    autopilot  set heading value to 180.58695392904178.
09:15:25 INFO    autopilot  set heading value to 180.58644484591028.
09:15:25 INFO    autopilot  set heading value to 180.57505102650327.
09:15:25 INFO    autopilot  set heading value to 180.5546573350621.
09:15:26 INFO    autopilot  set heading value to 180.5278387899145.
09:15:26 INFO    autopilot  set heading value to 180.49513226231497.
09:15:26 INFO    autopilot  set heading value to 180.47289119024197.
09:15:27 INFO    autopilot  set heading value to 180.46109998950396.
09:15:27 INFO    autopilot  set heading value to 180.47845463889618.
09:15:27 INFO    autopilot  set heading value to 180.50943111780296.
09:15:27 INFO    autopilot  set heading value to 180.5427932039402.
09:15:28 INFO    autopilot  set heading value to 180.57257218729944.
